Timestamp;Usia ;Jenis Kelamin;Region (Provinsi); Apakah anda mengalami kesulitan dalam mencari sayur dan buah-buahan segar selama pandemi Covid-19?;Apakah anda mengetahui tentang e-commerce pertanian?;Bagaimana cara anda berbelanja sayur dan buah-buahan segar, sebelum pandemi?;Bagaimana cara anda berbelanja sayur dan buah-buahan segar, saat pandemi?;Sebelum pandemi, apakah anda sering berbelanja sayur dan buah-buahan segar lewat e-commerce pertanian?;Dalam kondisi pandemi, apakah anda sering berbelanja sayur dan buah-buahan segar lewat e-commerce pertanian?;Berikut ini, yang termasuk e-commerce pertanian yang sering anda gunakan?;Jenis produk apa yang anda beli di masa pandemi?;Apakah anda menyukai berbelanja melalui e-commerce pertanian?;Apakah anda merasa terbantu dengan e-commerce pertanian?;Jika anda lebih suka berbelanja di e-commere, alasan apa yang mendasari jawaban anda?
9/30/2021 7:58:56;21;Laki-laki;JAWA TENGAH;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Sering (4 - 7 kali sebulan);Tanihub, Sayurbox, Tukangsayur.co;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);4;5;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Dapat melihat dan memberikan komentar/ulasan tentang produk
9/30/2021 9:02:26;21;Laki-laki;Jakarta;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tanihub, Sayurbox, Tukangsayur.co, HappyFresh, Brambang.com;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);3;3;Mengurangi biaya transaksi, Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk, Saya menyukai belanja secara konvensional
10/7/2021 16:13:22;22;Laki-laki;Jawa Timur;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;tidak menggunakan;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);4;4;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik
10/7/2021 16:15:09;19;Laki-laki;Jawa Timur;Ya;Ya;konvensional;e-commerce;Kadang-kadang (1-3 kali sebulan );Tidak sama sekali;Tanihub, Sayurbox, HappyFresh;Buah-buahan;5;5;Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung
10/7/2021 19:16:48;23;Laki-laki;Jawa Timur;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tanihub;Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);4;5;Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung
10/7/2021 19:50:11;20;Laki-laki;Jawa Timur;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tukangsayur.co, HappyFresh;Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll), makanan instan;3;3;Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
10/7/2021 19:58:23;20;Laki-laki;Jawa Timur;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Sering (4 - 7 kali sebulan);Tanihub, Sayurbox;Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);5;5;Mengurangi biaya transaksi, Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
10/7/2021 19:59:48;21;Perempuan;Jatim;Ya;Tidak;konvensional;konvensional;Tidak sama sekali;Kadang-kadang (1-3 kali sebulan );Tukangsayur.co;Sayur-sayuran;4;5;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik
10/7/2021 20:03:06;19;Laki-laki;Jaws Timur;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tidak ada;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);2;2;Saya menyukai belanja secara konvensional
10/7/2021 20:04:16;20;Laki-laki;Jawa Timur;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;-;Buah-buahan, Bumbu masakan langsung pakai (santan sachet, MSG, dll);2;2;Saya menyukai belanja secara konvensional
